----------------------------------------------------------------
     Layer.Parameter         Param Tensor Shape         Param #
vae.decoder.egnn.e_block_6.gcl_0.edge_mlp.2.weight                 [256, 256]           65536
vae.decoder.egnn.e_block_6.gcl_0.edge_mlp.2.bias                      [256]             256
vae.decoder.egnn.e_block_6.gcl_0.node_mlp.0.weight                 [256, 512]          131072
vae.decoder.egnn.e_block_6.gcl_0.node_mlp.0.bias                      [256]             256
vae.decoder.egnn.e_block_6.gcl_0.node_mlp.2.weight                 [256, 256]           65536
vae.decoder.egnn.e_block_6.gcl_0.node_mlp.2.bias                      [256]             256
vae.decoder.egnn.e_block_6.gcl_0.att_mlp.0.weight                   [1, 256]             256
vae.decoder.egnn.e_block_6.gcl_0.att_mlp.0.bias                        [1]               1
vae.decoder.egnn.e_block_6.gcl_equiv.coord_mlp.0.weight                 [256, 514]          131584
vae.decoder.egnn.e_block_6.gcl_equiv.coord_mlp.0.bias                      [256]             256
vae.decoder.egnn.e_block_6.gcl_equiv.coord_mlp.2.weight                 [256, 256]           65536
vae.decoder.egnn.e_block_6.gcl_equiv.coord_mlp.2.bias                      [256]             256
vae.decoder.egnn.e_block_6.gcl_equiv.coord_mlp.4.weight                   [1, 256]             256
vae.decoder.egnn.e_block_7.gcl_0.edge_mlp.0.weight                 [256, 514]          131584
vae.decoder.egnn.e_block_7.gcl_0.edge_mlp.0.bias                      [256]             256
vae.decoder.egnn.e_block_7.gcl_0.edge_mlp.2.weight                 [256, 256]           65536
vae.decoder.egnn.e_block_7.gcl_0.edge_mlp.2.bias                      [256]             256
vae.decoder.egnn.e_block_7.gcl_0.node_mlp.0.weight                 [256, 512]          131072
vae.decoder.egnn.e_block_7.gcl_0.node_mlp.0.bias                      [256]             256
vae.decoder.egnn.e_block_7.gcl_0.node_mlp.2.weight                 [256, 256]           65536
vae.decoder.egnn.e_block_7.gcl_0.node_mlp.2.bias                      [256]             256
vae.decoder.egnn.e_block_7.gcl_0.att_mlp.0.weight                   [1, 256]             256
vae.decoder.egnn.e_block_7.gcl_0.att_mlp.0.bias                        [1]               1
vae.decoder.egnn.e_block_7.gcl_equiv.coord_mlp.0.weight                 [256, 514]          131584
vae.decoder.egnn.e_block_7.gcl_equiv.coord_mlp.0.bias                      [256]             256
vae.decoder.egnn.e_block_7.gcl_equiv.coord_mlp.2.weight                 [256, 256]           65536
vae.decoder.egnn.e_block_7.gcl_equiv.coord_mlp.2.bias                      [256]             256
vae.decoder.egnn.e_block_7.gcl_equiv.coord_mlp.4.weight                   [1, 256]             256
vae.decoder.egnn.e_block_8.gcl_0.edge_mlp.0.weight                 [256, 514]          131584
vae.decoder.egnn.e_block_8.gcl_0.edge_mlp.0.bias                      [256]             256
vae.decoder.egnn.e_block_8.gcl_0.edge_mlp.2.weight                 [256, 256]           65536
vae.decoder.egnn.e_block_8.gcl_0.edge_mlp.2.bias                      [256]             256
vae.decoder.egnn.e_block_8.gcl_0.node_mlp.0.weight                 [256, 512]          131072
vae.decoder.egnn.e_block_8.gcl_0.node_mlp.0.bias                      [256]             256
vae.decoder.egnn.e_block_8.gcl_0.node_mlp.2.weight                 [256, 256]           65536
vae.decoder.egnn.e_block_8.gcl_0.node_mlp.2.bias                      [256]             256
vae.decoder.egnn.e_block_8.gcl_0.att_mlp.0.weight                   [1, 256]             256
vae.decoder.egnn.e_block_8.gcl_0.att_mlp.0.bias                        [1]               1
vae.decoder.egnn.e_block_8.gcl_equiv.coord_mlp.0.weight                 [256, 514]          131584
vae.decoder.egnn.e_block_8.gcl_equiv.coord_mlp.0.bias                      [256]             256
vae.decoder.egnn.e_block_8.gcl_equiv.coord_mlp.2.weight                 [256, 256]           65536
vae.decoder.egnn.e_block_8.gcl_equiv.coord_mlp.2.bias                      [256]             256
vae.decoder.egnn.e_block_8.gcl_equiv.coord_mlp.4.weight                   [1, 256]             256
----------------------------------------------------------------
Total params: 11403527
Trainable params: 11402526
Non-trainable params: 1001
