----------------------------------------------------------------
     Layer.Parameter         Param Tensor Shape         Param #
vae.decoder.clof_net.clof_gcl_1.coord_mlp.0.bias                      [256]             256
vae.decoder.clof_net.clof_gcl_1.coord_mlp.2.weight                   [3, 256]             768
vae.decoder.clof_net.clof_gcl_2.edge_mlp.0.weight                 [256, 641]          164096
vae.decoder.clof_net.clof_gcl_2.edge_mlp.0.bias                      [256]             256
vae.decoder.clof_net.clof_gcl_2.edge_mlp.2.weight                 [256, 256]           65536
vae.decoder.clof_net.clof_gcl_2.edge_mlp.2.bias                      [256]             256
vae.decoder.clof_net.clof_gcl_2.node_mlp.0.weight                 [256, 512]          131072
vae.decoder.clof_net.clof_gcl_2.node_mlp.0.bias                      [256]             256
vae.decoder.clof_net.clof_gcl_2.node_mlp.2.weight                 [256, 256]           65536
vae.decoder.clof_net.clof_gcl_2.node_mlp.2.bias                      [256]             256
vae.decoder.clof_net.clof_gcl_2.layer_norm.weight                      [256]             256
vae.decoder.clof_net.clof_gcl_2.layer_norm.bias                      [256]             256
vae.decoder.clof_net.clof_gcl_2.coord_mlp.0.weight                 [256, 256]           65536
vae.decoder.clof_net.clof_gcl_2.coord_mlp.0.bias                      [256]             256
vae.decoder.clof_net.clof_gcl_2.coord_mlp.2.weight                   [3, 256]             768
vae.decoder.clof_net.clof_gcl_3.edge_mlp.0.weight                 [256, 641]          164096
vae.decoder.clof_net.clof_gcl_3.edge_mlp.0.bias                      [256]             256
vae.decoder.clof_net.clof_gcl_3.edge_mlp.2.weight                 [256, 256]           65536
vae.decoder.clof_net.clof_gcl_3.edge_mlp.2.bias                      [256]             256
vae.decoder.clof_net.clof_gcl_3.node_mlp.0.weight                 [256, 512]          131072
vae.decoder.clof_net.clof_gcl_3.node_mlp.0.bias                      [256]             256
vae.decoder.clof_net.clof_gcl_3.node_mlp.2.weight                 [256, 256]           65536
vae.decoder.clof_net.clof_gcl_3.node_mlp.2.bias                      [256]             256
vae.decoder.clof_net.clof_gcl_3.layer_norm.weight                      [256]             256
vae.decoder.clof_net.clof_gcl_3.layer_norm.bias                      [256]             256
vae.decoder.clof_net.clof_gcl_3.coord_mlp.0.weight                 [256, 256]           65536
vae.decoder.clof_net.clof_gcl_3.coord_mlp.0.bias                      [256]             256
vae.decoder.clof_net.clof_gcl_3.coord_mlp.2.weight                   [3, 256]             768
vae.decoder.clof_net.clof_gcl_4.edge_mlp.0.weight                 [256, 641]          164096
vae.decoder.clof_net.clof_gcl_4.edge_mlp.0.bias                      [256]             256
vae.decoder.clof_net.clof_gcl_4.edge_mlp.2.weight                 [256, 256]           65536
vae.decoder.clof_net.clof_gcl_4.edge_mlp.2.bias                      [256]             256
vae.decoder.clof_net.clof_gcl_4.node_mlp.0.weight                 [256, 512]          131072
vae.decoder.clof_net.clof_gcl_4.node_mlp.0.bias                      [256]             256
vae.decoder.clof_net.clof_gcl_4.node_mlp.2.weight                 [256, 256]           65536
vae.decoder.clof_net.clof_gcl_4.node_mlp.2.bias                      [256]             256
vae.decoder.clof_net.clof_gcl_4.layer_norm.weight                      [256]             256
vae.decoder.clof_net.clof_gcl_4.layer_norm.bias                      [256]             256
vae.decoder.clof_net.clof_gcl_4.coord_mlp.0.weight                 [256, 256]           65536
vae.decoder.clof_net.clof_gcl_4.coord_mlp.0.bias                      [256]             256
vae.decoder.clof_net.clof_gcl_4.coord_mlp.2.weight                   [3, 256]             768
vae.decoder.clof_net.clof_gcl_5.edge_mlp.0.weight                 [256, 641]          164096
vae.decoder.clof_net.clof_gcl_5.edge_mlp.0.bias                      [256]             256
vae.decoder.clof_net.clof_gcl_5.edge_mlp.2.weight                 [256, 256]           65536
vae.decoder.clof_net.clof_gcl_5.edge_mlp.2.bias                      [256]             256
vae.decoder.clof_net.clof_gcl_5.node_mlp.0.weight                 [256, 512]          131072
vae.decoder.clof_net.clof_gcl_5.node_mlp.0.bias                      [256]             256
vae.decoder.clof_net.clof_gcl_5.node_mlp.2.weight                 [256, 256]           65536
vae.decoder.clof_net.clof_gcl_5.node_mlp.2.bias                      [256]             256
vae.decoder.clof_net.clof_gcl_5.layer_norm.weight                      [256]             256
vae.decoder.clof_net.clof_gcl_5.layer_norm.bias                      [256]             256
vae.decoder.clof_net.clof_gcl_5.coord_mlp.0.weight                 [256, 256]           65536
vae.decoder.clof_net.clof_gcl_5.coord_mlp.0.bias                      [256]             256
vae.decoder.clof_net.clof_gcl_5.coord_mlp.2.weight                   [3, 256]             768
vae.decoder.clof_net.clof_gcl_6.edge_mlp.0.weight                 [256, 641]          164096
vae.decoder.clof_net.clof_gcl_6.edge_mlp.0.bias                      [256]             256
vae.decoder.clof_net.clof_gcl_6.edge_mlp.2.weight                 [256, 256]           65536
vae.decoder.clof_net.clof_gcl_6.edge_mlp.2.bias                      [256]             256
vae.decoder.clof_net.clof_gcl_6.node_mlp.0.weight                 [256, 512]          131072
vae.decoder.clof_net.clof_gcl_6.node_mlp.0.bias                      [256]             256
vae.decoder.clof_net.clof_gcl_6.node_mlp.2.weight                 [256, 256]           65536
vae.decoder.clof_net.clof_gcl_6.node_mlp.2.bias                      [256]             256
vae.decoder.clof_net.clof_gcl_6.layer_norm.weight                      [256]             256
vae.decoder.clof_net.clof_gcl_6.layer_norm.bias                      [256]             256
vae.decoder.clof_net.clof_gcl_6.coord_mlp.0.weight                 [256, 256]           65536
vae.decoder.clof_net.clof_gcl_6.coord_mlp.0.bias                      [256]             256
vae.decoder.clof_net.clof_gcl_6.coord_mlp.2.weight                   [3, 256]             768
vae.decoder.clof_net.clof_gcl_7.edge_mlp.0.weight                 [256, 641]          164096
vae.decoder.clof_net.clof_gcl_7.edge_mlp.0.bias                      [256]             256
vae.decoder.clof_net.clof_gcl_7.edge_mlp.2.weight                 [256, 256]           65536
vae.decoder.clof_net.clof_gcl_7.edge_mlp.2.bias                      [256]             256
vae.decoder.clof_net.clof_gcl_7.node_mlp.0.weight                 [256, 512]          131072
vae.decoder.clof_net.clof_gcl_7.node_mlp.0.bias                      [256]             256
vae.decoder.clof_net.clof_gcl_7.node_mlp.2.weight                 [256, 256]           65536
vae.decoder.clof_net.clof_gcl_7.node_mlp.2.bias                      [256]             256
vae.decoder.clof_net.clof_gcl_7.layer_norm.weight                      [256]             256
vae.decoder.clof_net.clof_gcl_7.layer_norm.bias                      [256]             256
vae.decoder.clof_net.clof_gcl_7.coord_mlp.0.weight                 [256, 256]           65536
vae.decoder.clof_net.clof_gcl_7.coord_mlp.0.bias                      [256]             256
vae.decoder.clof_net.clof_gcl_7.coord_mlp.2.weight                   [3, 256]             768
vae.decoder.clof_net.clof_gcl_8.edge_mlp.0.weight                 [256, 641]          164096
vae.decoder.clof_net.clof_gcl_8.edge_mlp.0.bias                      [256]             256
vae.decoder.clof_net.clof_gcl_8.edge_mlp.2.weight                 [256, 256]           65536
vae.decoder.clof_net.clof_gcl_8.edge_mlp.2.bias                      [256]             256
vae.decoder.clof_net.clof_gcl_8.node_mlp.0.weight                 [256, 512]          131072
vae.decoder.clof_net.clof_gcl_8.node_mlp.0.bias                      [256]             256
vae.decoder.clof_net.clof_gcl_8.node_mlp.2.weight                 [256, 256]           65536
vae.decoder.clof_net.clof_gcl_8.node_mlp.2.bias                      [256]             256
vae.decoder.clof_net.clof_gcl_8.layer_norm.weight                      [256]             256
vae.decoder.clof_net.clof_gcl_8.layer_norm.bias                      [256]             256
vae.decoder.clof_net.clof_gcl_8.coord_mlp.0.weight                 [256, 256]           65536
vae.decoder.clof_net.clof_gcl_8.coord_mlp.0.bias                      [256]             256
vae.decoder.clof_net.clof_gcl_8.coord_mlp.2.weight                   [3, 256]             768
----------------------------------------------------------------
Total params: 9583860
Trainable params: 9582859
Non-trainable params: 1001
